William Shakespeare,4 billion,English,42,English
Agatha Christie,4 billion,English,85,English
Barbara Cartland,1 billion,English,723,English
Danielle Steel,800 million,English,179,American
Harold Robbins,750 million,English,23,American
Georges Simenon,700 million,French,570,Belgian
Enid Blyton,600 million,English,800,English
Sidney Sheldon,600 million,English,21,American
Dr. Seuss,500 million,English,44,American
Gilbert Patten,500 million,English,209,American
J. K. Rowling,500 million,English,15,British
Eiichiro Oda,470�million,Japanese,97,Japanese
Leo Tolstoy,413 million,Russian,48,Russian
R. L. Stine,400 million,English,430,American
Nora Roberts,400 million,English,200,American
Horatio Alger,400 million,English,135,American
Jackie Collins,400 million,English,25,English
Dean Koontz                    400 million                    English                        91                             American                      
Cor�n Tellado,400 million,Spanish,4000,Spanish
Alexander Pushkin,357 million,Russian,17,Russian
Paulo Coelho,350 million,Portuguese,28,Brazilian
Stephen King,350 million,English,77,American
Louis L'Amour,330 million,English,101,American
Jeffrey Archer,330 million,English,33,English
Jir Akagawa,330 million,Japanese,500,Japanese
Ren� Goscinny,325�million,French,108,French
Erle Stanley Gardner,325 million,English,140,American
Edgar Wallace,300 million,English,175,English
Jin Yong,300 million,Chinese,15,Chinese
Janet Dailey,300 million,English,93,American
Robert Ludlum,290 million,English,40,American
Akira Toriyama,287�million,Japanese,66,Japanese
Osamu Tezuka,276�million,Japanese,62,Japanese
James Patterson,275 million,English,98,American
Fr�d�ric Dard,270 million,French,300,French
Stan and Jan Berenstain,260 million,English,300,American
Zane Grey,250 million,English,1,American
Irving Wallace,250 million,English,1,American
John Grisham,250 million,English,22,American
Roald Dahl,250 million,English,50,British
J. R. R. Tolkien,250 million,English,36,English
Masashi Kishimoto,235�million,Japanese,72,Japanese
Kyotaro Nishimura,200 million,Japanese,400,Japanese
Mitsuru Adachi,200 million,Japanese,1,Japanese
Rumiko Takahashi,200 million,Japanese,1,Japanese
Gosho Aoyama,200 million,Japanese,1,Japanese
Karl May,200 million,German,80,German
Mickey Spillane,200 million,English,1,American
C. S. Lewis,200 million,English,38,British
Alistair MacLean,200 million,English,32,British
Dan Brown,200 million,English,7,American
Rytar Shiba,180 million,Japanese,350,Japanese
Ann M. Martin,180 million,English,335,American
Arthur Hailey,170 million,English,11,British/Canadian
Astrid Lindgren,165 million,Swedish,100,Swedish
G�rard de Villiers,150 million,French,170,French
Clive Cussler,150 million,English,37,American
Ken Follett,150 million,English,30,British
Beatrix Potter,150 million,English,23,English
Richard Scarry,150 million,English,250,American
Michael Crichton,150 million,English,25,American
Debbie Macomber,140 million,English,1,American
EL James,125 million,English,3,British
Tite Kubo,120 million,Japanese,74,Japanese
Eiji Yoshikawa,120 million,Japanese,7,Japanese
Carter Brown,120 million,English,1,Australian
Catherine Cookson,120 million,English,103,British
Stephenie Meyer,116 million,English,6,American
David Baldacci,110 million,English,25,American
Norman Bridwell,110 million,English,80,American
Nicholas Sparks,105 million,English,22,American
Hirohiko Araki,100 million,Japanese,1,Japanese
Lewis Carroll,100 million,English,5,British
Denise Robins,100 million,English,200,British
Cao Xueqin,100 million,Chinese,1,Chinese
Frank G. Slaughter,100 million,English,62,American
John Creasey,100 million,English,600,British
James A. Michener,100 million,English,47,American
Yasuo Uchida,100 million,Japanese,130,Japanese
Seiichi Morimura,100 million,Japanese,350,Japanese
Patricia Cornwell,100 million,English,34,American
Anne Rice,100 million,English,27,American
Wilbur Smith,100 million,English,32,South African/British
Erskine Caldwell,100 million,English
